orden_id,fecha_orden,categoria,canal_venta,ciudad_destino,metodo_pago,operador_logistica,operador_atencion,estado_orden,precio_venta_cop,costo_producto_cop,costo_envio_cop,margen_bruto_cop,ganancia_neta_cop,tiempo_respuesta_horas,dias_entrega,cliente_recurrente,devolucion,notas
MC-2023-0029,2023-12-25,Ropa hombre,Instagram,Manizales,Nequi,Servientrega,Camilo R.,Entregado,147000,52049,6900,88051,88051,3,3,Sí,No,Cliente no encontrado en dirección
MC-2023-0030,2023-04-28,Ropa hombre,Web propia,Bogotá,Nequi,Domicilios propios,Andrea P.,Cancelado,126000,66982,10900,48118,0,1,,No,No,Cliente no encontrado en dirección
MC-2023-0031,2023-02-12,Accesorios,TikTok Shop,Barranquilla,Nequi,Coordinadora,Andrea P.,Entregado,74000,32116,10900,30984,30984,2,4,No,No,Producto llegó con defecto
MC-2024-0032,2024-05-10,Calzado,Marketplace (Falabella),Manizales,Contraentrega,Domicilios propios,Andrea P.,Entregado,102000,41390,10900,49710,49710,2,1,No,No,
MC-2024-0033,2024-05-14,Ropa hombre,Web propia,Manizales,Contraentrega,Coordinadora,Andrea P.,Cancelado,129000,67856,0,61144,0,1,,No,No,"Cliente satisfecho, dejó reseña positiva"
MC-2024-0034,2024-04-03,Ropa mujer,Instagram,Cali,Tarjeta crédito,InterRapidísimo,Camilo R.,Entregado,139000,61806,0,77194,77194,5,4,Sí,No,
MC-2023-0035,2023-07-17,Accesorios,Instagram,Pereira,Bancolombia,Domicilios propios,Camilo R.,Entregado,67000,29938,0,37062,37062,2,,No,No,
MC-2023-0036,2023-10-08,Ropa mujer,Instagram,Bucaramanga,Bancolombia,Coordinadora,Sin operador,Entregado,48000,22311,10900,14789,14789,23,4,No,No,
MC-2023-0037,2023-02-24,Ropa hombre,WhatsApp,Manizales,Contraentrega,Domicilios propios,Valentina M.,Entregado,55000,25388,10900,18712,18712,2,1,No,No,Cliente no encontrado en dirección
MC-2023-0038,2023-03-03,Ropa niños,Instagram,Manizales,Bancolombia,InterRapidísimo,Andrea P.,En tránsito,35000,13349,6900,14751,0,1,5,No,No,Cliente preguntó por talla antes de comprar
MC-2024-0039,2024-04-09,Ropa mujer,WhatsApp,Cali,Bancolombia,Domicilios propios,Sin operador,Entregado,102000,48911,8900,44189,44189,22,1,No,No,Queja por demora en envío
MC-2023-0040,2023-10-06,Ropa niños,TikTok Shop,Barranquilla,Nequi,TCC,Valentina M.,Devuelto,66000,31069,0,34931,0,1,6,No,Sí,
MC-2024-0041,2024-04-26,Ropa niños,Marketplace (Falabella),Cali,Daviplata,InterRapidísimo,Sin operador,En tránsito,87000,47311,10900,28789,0,32,2,No,No,Cliente preguntó por talla antes de comprar
MC-2024-0042,2024-02-15,Ropa niños,Instagram,Barranquilla,Contraentrega,Servientrega,Andrea P.,Entregado,39000,21217,10900,6883,6883,3,2,No,No,"Cliente satisfecho, dejó reseña positiva"
MC-2024-0043,2024-03-28,Ropa mujer,WhatsApp,Cali,Bancolombia,Domicilios propios,Andrea P.,Devuelto,169000,63254,0,105746,0,1,,No,Sí,
MC-2024-0044,2024-04-17,Ropa mujer,WhatsApp,Barranquilla,Daviplata,Coordinadora,Andrea P.,Devuelto,168000,91736,6900,69364,0,1,1,No,Sí,Producto llegó con defecto
MC-2023-0045,2023-10-01,Ropa mujer,Web propia,Pereira,Daviplata,Coordinadora,Sin operador,Entregado,159000,72776,8900,77324,77324,36,2,Sí,No,Queja por demora en envío
MC-2023-0046,2023-02-14,Accesorios,Marketplace (Falabella),Pereira,Tarjeta crédito,TCC,Camilo R.,Devuelto,22000,8255,0,13745,0,8,3,No,Sí,
MC-2023-0047,2023-03-18,Calzado,Web propia,Cali,Tarjeta crédito,Domicilios propios,Valentina M.,Entregado,216000,92016,8900,115084,115084,4,,No,No,Queja por demora en envío
MC-2023-0048,2023-04-11,Ropa mujer,Marketplace (Falabella),Medellín,Nequi,Coordinadora,Valentina M.,Entregado,59000,24111,8900,25989,25989,4,2,No,No,Queja por demora en envío
MC-2023-0049,2023-09-04,Calzado,TikTok Shop,Medellín,Tarjeta crédito,InterRapidísimo,Andrea P.,Devuelto,145000,70088,10900,64012,0,3,5,No,Sí,Queja por demora en envío
MC-2023-0050,2023-09-14,Calzado,Web propia,Medellín,Tarjeta crédito,TCC,Valentina M.,Entregado,177000,82196,0,94804,94804,3,2,No,No,"Cliente satisfecho, dejó reseña positiva"
MC-2023-0051,2023-10-21,Ropa hombre,TikTok Shop,Manizales,Bancolombia,Coordinadora,Camilo R.,Cancelado,72000,34959,6900,30141,0,7,,No,No,
MC-2023-0052,2023-10-30,Accesorios,Marketplace (Falabella),Medellín,Bancolombia,InterRapidísimo,Andrea P.,Cancelado,52000,27700,6900,17400,0,2,,Sí,No,
MC-2024-0053,2024-02-11,Ropa niños,Web propia,Bogotá,Nequi,TCC,Andrea P.,Cancelado,40000,17638,8900,13462,0,3,,No,No,
MC-2023-0054,2023-03-06,Calzado,Web propia,Pereira,Nequi,TCC,Camilo R.,Entregado,89000,36567,10900,41533,41533,2,4,No,No,
MC-2024-0055,2024-02-29,Ropa mujer,Marketplace (Falabella),Bucaramanga,Contraentrega,TCC,Valentina M.,En tránsito,139000,54690,10900,73410,0,2,2,Sí,No,
MC-2024-0056,2024-04-10,Ropa mujer,WhatsApp,Pereira,Nequi,Domicilios propios,Valentina M.,Entregado,107000,58610,0,48390,48390,2,,No,No,Cliente no encontrado en dirección
MC-2023-0057,2023-01-03,Accesorios,WhatsApp,Medellín,Contraentrega,Domicilios propios,Camilo R.,Entregado,62000,32443,6900,22657,22657,4,,No,No,Producto llegó con defecto
MC-2023-0058,2023-04-27,Ropa mujer,Marketplace (Falabella),Barranquilla,Daviplata,Coordinadora,Valentina M.,Devuelto,173000,68215,0,104785,0,1,1,No,Sí,Queja por demora en envío
MC-2023-0059,2023-04-21,Calzado,Marketplace (Falabella),Bogotá,Contraentrega,Servientrega,Camilo R.,Entregado,112000,45360,0,66640,66640,5,2,No,No,Producto llegó con defecto
MC-2023-0060,2023-08-09,Calzado,Marketplace (Falabella),Medellín,Contraentrega,TCC,Sin operador,Devuelto,186000,92241,8900,84859,0,28,2,No,Sí,
